0x80	U+0452
0x81	U+0402
0x82	U+0453
0x83	U+0403
0x84	U+0451
0x85	U+0401
0x86	U+0454
0x87	U+0404
0x88	U+0455
0x89	U+0405
0x8A	U+0456
0x8B	U+0406
0x8C	U+0457
0x8D	U+0407
0x8E	U+0458
0x8F	U+0408
0x90	U+0459
0x91	U+0409
0x92	U+045A
0x93	U+040A
0x94	U+045B
0x95	U+040B
0x96	U+045C
0x97	U+040C
0x98	U+045E
0x99	U+040E
0x9A	U+045F
0x9B	U+040F
0x9C	U+044E
0x9D	U+042E
0x9E	U+044A
0x9F	U+042A
0xA0	U+0430
0xA1	U+0410
0xA2	U+0431
0xA3	U+0411
0xA4	U+0446
0xA5	U+0426
0xA6	U+0434
0xA7	U+0414
0xA8	U+0435
0xA9	U+0415
0xAA	U+0444
0xAB	U+0424
0xAC	U+0433
0xAD	U+0413
0xAE	U+00AB
0xAF	U+00BB
0xB0	U+2591
0xB1	U+2592
0xB2	U+2593
0xB3	U+2502
0xB4	U+2524
0xB5	U+0445
0xB6	U+0425
0xB7	U+0438
0xB8	U+0418
0xB9	U+2563
0xBA	U+2551
0xBB	U+2557
0xBC	U+255D
0xBD	U+0439
0xBE	U+0419
0xBF	U+2510
0xC0	U+2514
0xC1	U+2534
0xC2	U+252C
0xC3	U+251C
0xC4	U+2500
0xC5	U+253C
0xC6	U+043A
0xC7	U+041A
0xC8	U+255A
0xC9	U+2554
0xCA	U+2569
0xCB	U+2566
0xCC	U+2560
0xCD	U+2550
0xCE	U+256C
0xCF	U+00A4
0xD0	U+043B
0xD1	U+041B
0xD2	U+043C
0xD3	U+041C
0xD4	U+043D
0xD5	U+041D
0xD6	U+043E
0xD7	U+041E
0xD8	U+043F
0xD9	U+2518
0xDA	U+250C
0xDB	U+2588
0xDC	U+2584
0xDD	U+041F
0xDE	U+044F
0xDF	U+2580
0xE0	U+042F
0xE1	U+0440
0xE2	U+0420
0xE3	U+0441
0xE4	U+0421
0xE5	U+0442
0xE6	U+0422
0xE7	U+0443
0xE8	U+0423
0xE9	U+0436
0xEA	U+0416
0xEB	U+0432
0xEC	U+0412
0xED	U+044C
0xEE	U+042C
0xEF	U+2116
0xF0	U+00AD
0xF1	U+044B
0xF2	U+042B
0xF3	U+0437
0xF4	U+0417
0xF5	U+0448
0xF6	U+0428
0xF7	U+044D
0xF8	U+042D
0xF9	U+0449
0xFA	U+0429
0xFB	U+0447
0xFC	U+0427
0xFD	U+00A7
0xFE	U+25A0
0xFF	U+00A0
