0x80	U+0391
0x81	U+0392
0x82	U+0393
0x83	U+0394
0x84	U+0395
0x85	U+0396
0x86	U+0397
0x87	U+0398
0x88	U+0399
0x89	U+039A
0x8A	U+039B
0x8B	U+039C
0x8C	U+039D
0x8D	U+039E
0x8E	U+039F
0x8F	U+03A0
0x90	U+03A1
0x91	U+03A3
0x92	U+03A4
0x93	U+03A5
0x94	U+03A6
0x95	U+03A7
0x96	U+03A8
0x97	U+03A9
0x98	U+03B1
0x99	U+03B2
0x9A	U+03B3
0x9B	U+03B4
0x9C	U+03B5
0x9D	U+03B6
0x9E	U+03B7
0x9F	U+03B8
0xA0	U+03B9
0xA1	U+03BA
0xA2	U+03BB
0xA3	U+03BC
0xA4	U+03BD
0xA5	U+03BE
0xA6	U+03BF
0xA7	U+03C0
0xA8	U+03C1
0xA9	U+03C3
0xAA	U+03C2
0xAB	U+03C4
0xAC	U+03C5
0xAD	U+03C6
0xAE	U+03C7
0xAF	U+03C8
0xB0	U+2591
0xB1	U+2592
0xB2	U+2593
0xB3	U+2502
0xB4	U+2524
0xB5	U+2561
0xB6	U+2562
0xB7	U+2556
0xB8	U+2555
0xB9	U+2563
0xBA	U+2551
0xBB	U+2557
0xBC	U+255D
0xBD	U+255C
0xBE	U+255B
0xBF	U+2510
0xC0	U+2514
0xC1	U+2534
0xC2	U+252C
0xC3	U+251C
0xC4	U+2500
0xC5	U+253C
0xC6	U+255E
0xC7	U+255F
0xC8	U+255A
0xC9	U+2554
0xCA	U+2569
0xCB	U+2566
0xCC	U+2560
0xCD	U+2550
0xCE	U+256C
0xCF	U+2567
0xD0	U+2568
0xD1	U+2564
0xD2	U+2565
0xD3	U+2559
0xD4	U+2558
0xD5	U+2552
0xD6	U+2553
0xD7	U+256B
0xD8	U+256A
0xD9	U+2518
0xDA	U+250C
0xDB	U+2588
0xDC	U+2584
0xDD	U+258C
0xDE	U+2590
0xDF	U+2580
0xE0	U+03C9
0xE1	U+03AC
0xE2	U+03AD
0xE3	U+03AE
0xE4	U+03CA
0xE5	U+03AF
0xE6	U+03CC
0xE7	U+03CD
0xE8	U+03CB
0xE9	U+03CE
0xEA	U+0386
0xEB	U+0388
0xEC	U+0389
0xED	U+038A
0xEE	U+038C
0xEF	U+038E
0xF0	U+038F
0xF1	U+00B1
0xF2	U+2265
0xF3	U+2264
0xF4	U+03AA
0xF5	U+03AB
0xF6	U+00F7
0xF7	U+2248
0xF8	U+00B0
0xF9	U+2219
0xFA	U+00B7
0xFB	U+221A
0xFC	U+207F
0xFD	U+00B2
0xFE	U+25A0
0xFF	U+00A0
